AR03BDP1187FB5B324 <sep> Britney Spears <sep> 0.73617 <sep> Mccomb, MS, US
ARY2Z6Y1187B9BA126 <sep> Scissor Sisters <sep> 0.740436 <sep> New York, NY, US
AR65K7A1187FB4DAA4 <sep> Beyoncé <sep> 0.757788 <sep> Houston, TX, US
AR0S7TA1187FB4D024 <sep> Christina Aguilera <sep> 0.600317 <sep> Staten Island, New York, NY, US
ARORMBJ1241B9CDB1A <sep> Ke$ha <sep> 0.656995 <sep> Los Angeles, CA, US
AR0IVTL1187B9AD520 <sep> Katy Perry <sep> 0.79002 <sep> Santa Barbara, CA, US
ARKU3Z61187FB51DCA <sep> Rihanna <sep> 0.80483 <sep> Saint Michael, BB
ARTCUTJ122BCFC9C1B <sep> Livvi Franc <sep> 0.458691 <sep> Harrogate, England, GB
AR8V1X71187B9B919B <sep> Kylie Minogue <sep> 0.664461 <sep> Melbourne, Victoria, AU
ARD6VHG11C8A414FC6 <sep> La Roux <sep> 0.519629 <sep> London, England, GB
ARDYVEQ122BCFCC19E <sep> Nicki Minaj <sep> 0.809415 <sep> New York, NY, US
AR65M2S1187B9A9C40 <sep> Robyn <sep> 0.487836 <sep> Stockholm, Stockholm, SE
ARATKFG1187B99D260 <sep> Lil' Kim <sep> 0.44025 <sep> Brooklyn, New York, NY, US
ARGWD4Q1187FB52610 <sep> Shawnna <sep> 0.360783 <sep> Chicago, IL, US
ARVJQ8B1187FB40F4F <sep> Khia <sep> 0.375325 <sep> Tampa, FL, US
ARG77LO1187FB48344 <sep> Remy Ma <sep> 0.460655 <sep> Castle Hill, New York, NY, US
ARUDYKB11F4C83C269 <sep> Lil Wayne <sep> 0.776618 <sep> New Orleans, LA, US
ARDI88R1187B98DAB2 <sep> Foxy Brown <sep> 0.461939 <sep> Brooklyn, New York, NY, US
ARODZUF11F4C841E1F <sep> Drake <sep> 0.811195 <sep> Toronto, Ontario, CA
ARFMYWG1187FB39B48 <sep> Trina <sep> 0.496276 <sep> Miami, FL, US
ARRH63Y1187FB47783 <sep> Kanye West <sep> 0.720335 <sep> Atlanta, GA, US
ARL60FF1187B9AE52D <sep> Trey Songz <sep> 0.705625 <sep> Petersburg, VA, US
ARHPVWC1187B9B116A <sep> Amanda Blank <sep> 0.471904 <sep> Philadelphia, PA, US
ARD46C811C8A414F3F <sep> Kid Cudi <sep> 0.653933 <sep> Shaker Heights, OH, US
AR2R67I1187FB4FF3E <sep> Birdman <sep> 0.527688 <sep> New Orleans, LA, US
ARFIDHF12496DAB7E1 <sep> J. Cole <sep> 0.675397 <sep> Fayetteville, NC, US
ARLGIX31187B9AE9A0 <sep> Jay-Z <sep> 0.71972 <sep> Brooklyn, New York, NY, US
ARXOTQH1187FB57084 <sep> Chris Brown <sep> 0.793189 <sep> San Francisco, CA, US
ARPDVPJ1187B9ADBE9 <sep> Usher <sep> 0.799805 <sep> Chattanooga, TN, US
ARPVZTA1187B9A63A8 <sep> DJ Khaled <sep> 0.504805 <sep> New Orleans, LA, US
ARKQQZA12086C116FC <sep> B.o.B <sep> 0.748402 <sep> Washington, DC, US
ARS2P621187FB37B82 <sep> Ciara <sep> 0.548203 <sep> Austin, TX, US
ARDUIMG1187B9B9498 <sep> Christina Milian <sep> 0.513065 <sep> Jersey City, NJ, US
ARLK6VL1187B9B8850 <sep> Timbaland <sep> 0.492324 <sep> Norfolk, VA, US
AR0FXTC1187FB46FEC <sep> Nicole Scherzinger <sep> 0.529335 <sep> Honolulu, HI, US
ARIGPNM1187B98C744 <sep> Kelis <sep> 0.589055 <sep> Harlem, New York, NY, US
AR47GV91187B996D90 <sep> Keri Hilson <sep> 0.596939 <sep> Decatur, GA, US
ARTDQRC1187FB4EFD4 <sep> The Black Eyed Peas <sep> 0.749316 <sep> Los Angeles, CA, US
ARTN7KV1187FB4CF64 <sep> Amerie <sep> 0.494523 <sep> Washington, DC, US
ARIBGNM1187B99A598 <sep> Nivea <sep> 0.477109 <sep> Savannah, GA, US
ARLMXEA1187B9A7D04 <sep> R. Kelly <sep> 0.684821 <sep> Chicago, IL, US
ARAWOLW1187FB3AB70 <sep> Ne-Yo <sep> 0.686591 <sep> Camden, AR, US
AR9BS5O1187FB5432D <sep> Mario <sep> 0.590873 <sep> Baltimore, MD, US
AR5DC8S1187B9958BE <sep> Mary J. Blige <sep> 0.582614 <sep> Bronx, New York, NY, US
ARW8Z0L1187FB5091A <sep> Dru Hill <sep> 0.489637 <sep> New Orleans, LA, US
ARKSZW81187B9B695D <sep> Mariah Carey <sep> 0.680434 <sep> Huntington, NY, US
AR7GVU91187B99F7E2 <sep> Omarion <sep> 0.474712 <sep> Inglewood, CA, US
ARKR0111187B99FD2A <sep> Monica <sep> 0.527089 <sep> Atlanta, GA, US
AR4OH581187B9B7157 <sep> Jagged Edge <sep> 0.489947 <sep> Atlanta, GA, US
ARZSKZU1187FB4CE1E <sep> TLC <sep> 0.536686 <sep> Atlanta, GA, US
ARFEOJM1187B9AA3B8 <sep> Sisqó <sep> 0.392469 <sep> Baltimore, MD, US
ARS2Y7C1187FB52D25 <sep> Ray J <sep> 0.478402 <sep> Carson, CA, US
ARDV3AV1187FB551C9 <sep> J. Holiday <sep> 0.465356 <sep> Washington, DC, US
ARWK5QH1187B9A9B7F <sep> Justin Timberlake <sep> 0.554439 <sep> Memphis, TN, US
ARF33H31187FB45223 <sep> Bobby Valentino <sep> 0.460893 <sep> London, England, GB
ARFO97B1187B9B67EF <sep> T-Pain <sep> 0.541192 <sep> Tallahassee, FL, US
AR9B7FG1187B9A5C96 <sep> Jay Sean <sep> 0.64401 <sep> Southall, London, England, GB
AR9EZG01187B9A7CAF <sep> Corbin Bleu <sep> 0.438767 <sep> Brooklyn, New York, NY, US
ARKZJ301187FB521B2 <sep> Lily Allen <sep> 0.54559 <sep> Hammersmith, London, England, GB
ARY53RR1187B9AE485 <sep> Avril Lavigne <sep> 0.725515 <sep> Napanee, Ontario, CA
ARBEOHF1187B9B044D <sep> Madonna <sep> 0.726119 <sep> Bay City, MI, US
ARAOYXM1187FB524F6 <sep> Nelly Furtado <sep> 0.673978 <sep> Victoria, British Columbia, CA
ARX6TAQ11C8A415850 <sep> Lady Gaga <sep> 0.774993 <sep> New York, NY, US
AR0FFYE1187FB3B00A <sep> The Veronicas <sep> 0.520686 <sep> Brisbane, Queensland, AU
ARNMZGT1187B9B4A09 <sep> Nellie McKay <sep> 0.409428 <sep> Manhattan, New York, NY, US
ARWD25M1187FB4C563 <sep> Amy Winehouse <sep> 0.642454 <sep> Southgate, London, England, GB
ARU9LLJ1187B9B8AB2 <sep> Ashlee Simpson <sep> 0.452022 <sep> Waco, TX, US
AR81GOD1187B9B1583 <sep> Young Jeezy <sep> 0.581949 <sep> Columbia, SC, US
ARCHCB01187B9AA577 <sep> Lil' Flip <sep> 0.471027 <sep> Houston, TX, US
AR3FE581187FB3F90A <sep> Fabolous <sep> 0.575946 <sep> Brooklyn, New York, NY, US
ARY8JIO1187B9940FC <sep> Jermaine Dupri <sep> 0.457589 <sep> Atlanta, GA, US
AR51XUU1187B993A0A <sep> Yo Gotti <sep> 0.511033 <sep> Memphis, TN, US
ARRQZEV1187B98C8C2 <sep> Bow Wow <sep> 0.550268 <sep> Columbus, OH, US
ARCBD0U1187FB466EF <sep> Nelly <sep> 0.658102 <sep> St. Louis, MO, US
ARZV89L1187FB4D4F8 <sep> B.G. <sep> 0.389687 <sep> New Orleans, LA, US
ARSZ6MA1187FB43D29 <sep> The Notorious B.I.G. <sep> 0.632218 <sep> Brooklyn, New York, NY, US
ARKWI7M1187B9B7713 <sep> Destiny's Child <sep> 0.505038 <sep> Houston, TX, US
ART4QZC1187FB51612 <sep> Janet Jackson <sep> 0.488054 <sep> Gary, IN, US
ARRIH6E1187B99E434 <sep> Jennifer Hudson <sep> 0.592209 <sep> Chicago, IL, US
ARDNYW01187FB4D0FB <sep> Aaliyah <sep> 0.502659 <sep> Brooklyn, New York, NY, US
ARXAWLH1187B991605 <sep> Kelly Rowland <sep> 0.539823 <sep> Atlanta, GA, US
AREBTNS1187FB3CE6D <sep> Taio Cruz <sep> 0.711498 <sep> London, England, GB
ARRJ3UC1187FB579D7 <sep> Wyclef Jean <sep> 0.455018 <sep> Croix des Bouquets, Ouest, HT
AR8RXRI1187FB4104B <sep> The Roots <sep> 0.484957 <sep> Philadelphia, PA, US
ARTOG9T1187B99074E <sep> Will Smith <sep> 0.465281 <sep> Los Angeles, CA, US
ARXFB7K1187B9B1E54 <sep> Missy Elliott <sep> 0.450316 <sep> Portsmouth, England, GB
ARVKJGO12086C15075 <sep> LMFAO <sep> 0.816756 <sep> Pacific Palisades, Los Angeles, CA, US
ARWQ3M31187FB4CF01 <sep> Arrested Development <sep> 0.478391 <sep> Atlanta, GA, US
ARK9BHE1187FB3AC9D <sep> Pitbull <sep> 0.810121 <sep> Miami, FL, US
ARJ9B1V1187FB4DD1F <sep> Kid Sister <sep> 0.461943 <sep> Chicago, IL, US
ARDDMYP1187B9B8AE4 <sep> M.I.A. <sep> 0.509592 <sep> Kaukolikai, Klaipeda County, LT
ARICFET123E29C2452 <sep> Jason Derülo <sep> 0.710654 <sep> Miami, FL, US
AROB0091187FB47B7A <sep> Spank Rock <sep> 0.430442 <sep> Baltimore, MD, US
ARH2QI91187FB3788D <sep> David Guetta <sep> 0.777651 <sep> Paris, Ile-de-France, FR
ARQOG1Y1187B99BF80 <sep> Far * East Movement <sep> 0.715127 <sep> Los Angeles, CA, US
AR1IJ1Z11C8A41500D <sep> Flo Rida <sep> 0.804155 <sep> Miami, FL, US
AR284311187B994ECC <sep> Lil' KeKe <sep> 0.430702 <sep> Houston, TX, US
ARBNXYA1187FB51C50 <sep> Daddy Yankee <sep> 0.572672 <sep> San Juan, San Juan, PR
ARN4R8M1187FB37A66 <sep> Down AKA Kilo <sep> 0.428776 <sep> Oxnard, CA, US
ARGV26H1187FB4BAF4 <sep> Don Omar <sep> 0.679925 <sep> Puerto Rico
AR5UHAH1187B9A0B92 <sep> Ying Yang Twins <sep> 0.475088 <sep> Atlanta, GA, US
ARHLGDG11F4C846A37 <sep> Lil Jon <sep> 0.456296 <sep> Atlanta, GA, US
AR2E3LI1187FB38797 <sep> DJ Antoine <sep> 0.518147 <sep> Switzerland
AREMPZY1187B9B8FF3 <sep> David Banner <sep> 0.493987 <sep> Jackson, MS, US
ARNAIMI1187FB5733C <sep> Rick Ross <sep> 0.708512 <sep> Carol City, FL, US
ARX70TX1187FB53005 <sep> Gorilla Zoe <sep> 0.451519 <sep> Atlanta, GA, US
AR7NPRY1187B9ADE15 <sep> Ludacris <sep> 0.546922 <sep> Champaign, IL, US
ARBS1OC1187FB44CAF <sep> T.I. <sep> 0.726789 <sep> Bankhead, Atlanta, GA, US
ARGLOU61187FB55A07 <sep> Bob Sinclar <sep> 0.516122 <sep> Paris, Ile-de-France, FR
ARQERGF1187FB4CC52 <sep> Fedde Le Grand <sep> 0.462273 <sep> Utrecht, Utrecht, NL
ARUUMRV1187FB4D2BC <sep> Benny Benassi <sep> 0.667243 <sep> Reggio nell'Emilia, Emilia Romagna, IT
ARPIU371187B9905C4 <sep> The Disco Boys <sep> 0.446413 <sep> Hamburg, Hamburg, DE
ARDVMQV1187B9B094C <sep> Enur <sep> 0.430022 <sep> Copenhagen, Hovedstaden, DK
